SI.,Product Name,Item Code,UOM,Purchase UOM,Product Category,Origin Rule,Unit Cost,Unnamed: 8
100,VCD 300X200 S&C,VCD-300x200-X2,NOS,NOS,Accessory,,29.46,
101,0.70MM AGIS COIL (Z275),AGIS-0.70MM-X3,KG,TON,Raw-Material,UAE,3.14,
102,C PATTI SHEET,C-PATTI-SHEET-X4,NOS,NOS,Accessory,,0.89,
103,CARBON 51,CARBON-51-X5,NOS,NOS,Consumable,,4.94,
104,0.55MM JSW COIL (Z275),JSW-0.55MM-X6,KG,TON ,Raw-Material,INDIA,3.9,
105,"GI ROUND VCD - 10""",VCD-GI-10-X7,NOS,NOS,Accessory,,12.71,
106,"1"" DIA GI PIPE",GI-PIPE-1-X8,NOS,NOS,Raw-Material,,79.29,
107,"FLEXIBLE DUCT 6"" (7.5MTR/BX)",FLEX-DUCT-6-X9,BX,BX,Accessory,,26.33,
108,"FLEXIBLE DUCT 6"" (7.5MTR/BX)",FLEX-DUCT-6-X10,BX,BX,Accessory,,26.41,
109,STANLEY CUTTER,STANLEY-CUTTER-X11,NOS,NOS,Tool,,35.02,
110,0.70MM JSW COIL (Z275),JSW-0.70MM-X12,KG,TON,Raw-Material,INDIA,3.81,
111,40MM FLANGES,FL-40MM-X13,MTR,Length (5 MTR),Accessory ,,3.84,
112,0.56MM JSW COIL (Z275),JSW-0.56MM-X14,KG,TON ,Raw-Material,INDIA,3.81,
113,ANGLE 25/25 / 2.5MM,ANGLE-25x25-2.5-X15,NOS,Length (5 MTR),Accessory,,26.25,
114,30MM FLANGES,FL-30MM-X16,MTR,Length (5 MTR),Accessory ,,2.25,
115,STANLEY CUTTER,STANLEY-CUTTER-X17,NOS,NOS,Tool,,35.6,
116,NOZZLE PLASMA,NOZZLE-P-X18,NOS,NOS,Consumable,,8.9,
117,DRILL BIT 3.5 MM,DRILL-3.5MM-X19,NOS,NOS,Consumable,,2.53,
118,30MM FLANGES,FL-30MM-X20,MTR,Length (5 MTR),Accessory ,,2.24,
119,GREASE 1 KG,CONS-GREASE-1KG-X21,KG,KG,Consumable,,14.84,
120,CARBON 325,CARBON-325-X22,NOS,NOS,Consumable,,9.87,
121,0.55MM JSW COIL (Z275),JSW-0.55MM-X23,KG,TON ,Raw-Material,INDIA,3.85,
122,"CUTTER WHEEL 14""",CUTTER-14-X24,NOS,NOS,Consumable,,11.04,
123,MAKITA MACHINE SPARE PARTS,MAKITA-SPARES-X25,SET,SET,Tool,,37.32,
124,CARBON 153,CARBON-153-X26,NOS,NOS,Consumable,,9.81,
125,0.56MM JSW COIL (Z275),JSW-0.56MM-X27,KG,TON ,Raw-Material,INDIA,3.85,
126,HAMMER 200,HAMMER-200-X28,NOS,NOS,Tool,,15.14,
127,PIANO HINGES,HINGE-PIANO-X29,NOS,NOS,Accessory,,20.33,
128,WASTE CLOTH,CONS-WASTE-CLOTH-X30,PKT,PKT,Consumable,,15.08,
129,CARBON 203,CARBON-203-X31,NOS,NOS,Consumable,,12.2,
130,WELDING ROD 2.6MM GREEN,WELD-2.6MM-X32,BOX,BOX,Consumable,,48.7,
131,HAND GLOVES,CONS-HAND-GLOVES-X33,DZN,DZN,SAFETY-ITEM,,12.85,
132,CARBON 325,CARBON-325-X34,NOS,NOS,Consumable,,10.15,
133,SHEILD (PLASMA MACHINE),SHIELD-PLASMA-X35,NOS,NOS,Consumable,,76.9,
134,0.70MM AGIS COIL (Z275),AGIS-0.70MM-X36,KG,TON,Raw-Material,UAE,3.15,
135,CARBON PLAIN,CARBON-PLAIN-X37,NOS,NOS,Consumable,,5.06,
136,CARBON PLAIN,CARBON-PLAIN-X38,NOS,NOS,Consumable,,5.07,
137,GI NUT 10 MM,GI-NUT-10MM-X39,KG,KG,Accessory,,6.94,
138,CARBON PLAIN,CARBON-PLAIN-X40,NOS,NOS,Consumable,,5.01,
139,ANGLE 35/35 / 3 THICK,ANGLE-35x35-3-X41,NOS,Length (5 MTR),Accessory,,32.43,
140,"BRUSH 2""",BRUSH-2-X42,NOS,NOS,Consumable,,2.01,
141,GREASE 1 KG,CONS-GREASE-1KG-X43,KG,KG,Consumable,,14.84,
142,40MM FLANGES,FL-40MM-X44,MTR,Length (5 MTR),Accessory ,,3.83,
143,ANGLE 35/35 / 3 THICK,ANGLE-35x35-3-X45,NOS,Length (5 MTR),Accessory,,32.57,
144,20MM JOINT CLEAT,JC-20MM-X46,MTR,Length (2 MTR),Accessory ,,1.54,
145,0.55MM JSW COIL (Z275),JSW-0.55MM-X47,KG,TON ,Raw-Material,INDIA,3.78,
146,COPPER (SPOT WELDING TIP),COPPER-WELD-TIP-X48,PCS,PCS,Consumable,,29.44,
147,EARPLUG,EARPLUG-X49,NOS,NOS,SAFETY-ITEM,,0.6,
148,1.00MM AGIS COIL (Z275),AGIS-1.00MM-X50,KG,TON,Raw-Material,UAE,3.1,
149,20MM CORNER,CR-20MM-X51,NOS,BOX (200 NOS),Accessory ,,0.28,
150,HAMMER 200,HAMMER-200-X52,NOS,NOS,Tool,,14.85,
151,CARBON 325,CARBON-325-X53,NOS,NOS,Consumable,,9.8,
152,0.60MM AGIS COIL (Z275),AGIS-0.60MM-X54,KG,TON,Raw-Material,UAE,3.18,
153,40MM G CLAMPS,GC-40MM-X55,NOS,BOX (200 NOS),Accessory ,,0.28,
154,WOODEN HAMMER,HAMMER-WOOD-X56,NOS,NOS,Tool,,10.97,
155,ANGLE 25/25 / 2.5MM,ANGLE-25x25-2.5-X57,NOS,Length (5 MTR),Accessory,,26.35,
156,30MM FLANGES,FL-30MM-X58,MTR,Length (5 MTR),Accessory ,,2.25,
157,ALUM SPRAY PAINT,CONS-PAINT-AL-X59,NOS,NOS,Consumable,,4.95,
158,HAND GLOVES,CONS-HAND-GLOVES-X60,DZN,DZN,SAFETY-ITEM,,13.16,
159,CARBON 325,CARBON-325-X61,NOS,NOS,Consumable,,10,
160,GI ACCESS DOOR HANDLE,GI-DOOR-HANDLE-X62,NOS,NOS,Accessory,,0.45,
161,TIE ROD CONNECTOR 10 MM,TR-CON-10MM-X63,NOS,NOS,Accessory,,0.45,
162,30MM JOINT CLEAT,JC-30MM-X64,MTR,Length (2 MTR),Accessory ,,1.55,
163,GI NUT 10 MM,GI-NUT-10MM-X65,KG,KG,Accessory,,6.97,
164,"GRINDING WHEEL 4.5""",GRIND-4.5-X66,NOS,NOS,Consumable,,0.98,
165,FIRE RATED SEALANT - PROGULF,SEALANT-FR-PROGULF-X67,NOS,NOS,Consumable,,14.98,
166,SWIRL RING,SWIRL-RING-X68,NOS,NOS,Consumable,,120.59,
167,DRILL BIT 4 MM,DRILL-4MM-X69,NOS,NOS,Consumable,,2.54,
168,GALVANIZED ANGLE 40/40,ANGLE-40x40-X70,NOS,Length (5 MTR),Accessory,,62.84,
169,20MM CORNER,CR-20MM-X71,NOS,BOX (200 NOS),Accessory ,,0.28,
170,30MM FLANGES,FL-30MM-X72,MTR,Length (5 MTR),Accessory ,,2.24,
171,40MM CORNER,CR-40MM-X73,NOS,BOX (200 NOS),Accessory ,,0.87,
172,THINNER,THINNER-X74,LITER,LITER,Consumable,,8.65,
173,20MM CORNER,CR-20MM-X75,NOS,BOX (200 NOS),Accessory ,,0.28,
174,THINNER,THINNER-X76,LITER,LITER,Consumable,,8.62,
175,VCD 300X200 S&C,VCD-300x200-X77,NOS,NOS,Accessory,,30.13,
176,CARBON (MITERSAW),CARBON-MITER-X78,NOS,NOS,Consumable,,5.05,
177,1.00MM AGIS COIL (Z275),AGIS-1.00MM-X79,KG,TON,Raw-Material,UAE,3.09,
178,WOODEN HAMMER,HAMMER-WOOD-X80,NOS,NOS,Tool,,10.91,
179,TIE ROD CONNECTOR 10 MM,TR-CON-10MM-X81,NOS,NOS,Accessory,,0.44,
180,"CUTTER WHEEL 4.5"" (16DIA)",CUTTER-4.5-X82,NOS,NOS,Consumable,,3.03,
181,DAMPER SPLIT,DAMPER-SPLIT-X83,NOS,NOS,Accessory,,5.41,
182,CARBON PLAIN,CARBON-PLAIN-X84,NOS,NOS,Consumable,,5,
183,0.60MM AGIS COIL (Z275),AGIS-0.60MM-X85,KG,TON,Raw-Material,UAE,3.17,
184,VCD 250X150 S&C,VCD-250x150-X86,NOS,NOS,Accessory,,24.33,
185,GI BOLT 10 MM,GI-BOLT-10MM-X87,KG,KG,Accessory,,7.13,
186,0.70MM AGIS COIL (Z275),AGIS-0.70MM-X88,KG,TON,Raw-Material,UAE,3.15,
187,C PATTI SHEET,C-PATTI-SHEET-X89,NOS,NOS,Accessory,,0.91,
188,FIRE RATED SEALANT - PROGULF,SEALANT-FR-PROGULF-X90,NOS,NOS,Consumable,,14.9,
189,"1"" DIA GI PIPE",GI-PIPE-1-X91,NOS,NOS,Raw-Material,,81,
190,CARBON PLAIN,CARBON-PLAIN-X92,NOS,NOS,Consumable,,5.06,
191,WELDING ROD 4MM,WELD-4MM-X93,BOX,BOX,Consumable,,40.25,
192,FIRE RATED STICKER - MUAYED,STICKER-FR-MUAYED-X94,NOS,NOS,Consumable,,5.93,
193,SHEILD (PLASMA MACHINE),SHIELD-PLASMA-X95,NOS,NOS,Consumable,,75.1,
194,"GI ROUND VCD - 4""",VCD-GI-4-X96,NOS,NOS,Accessory,,9.97,
195,ANGLE 25/25 / 2.5MM,ANGLE-25x25-2.5-X97,NOS,Length (5 MTR),Accessory,,25.64,
196,0.70MM JSW COIL (Z275),JSW-0.70MM-X98,KG,TON,Raw-Material,INDIA,3.91,
197,0.90MM JSW COIL (Z275),JSW-0.90MM-X99,KG,TON,Raw-Material,INDIA,3.8,
198,HAMMER 200,HAMMER-200-X100,NOS,NOS,Tool,,14.72,
199,CARBON 325,CARBON-325-X101,NOS,NOS,Consumable,,10.02,
200,WELDING ROD 3.2MM,WELD-3.2MM-X102,BOX,BOX,Consumable,,44.87,
201,1.20MM JSW COIL (Z275),JSW-1.20MM-X103,KG,TON,Raw-Material,INDIA,3.91,
202,0.70MM AGIS COIL (Z275),AGIS-0.70MM-X104,KG,TON,Raw-Material,UAE,3.13,
203,TIE ROD (NOS) 10 MM,TR-10MM-X105,NOS,1.5MTR,Accessory,,4.33,
204,GOOGLES,SAFETY-GOGGLES-X106,NOS,NOS,SAFETY-ITEM,,5.03,
205,HAMMER 200,HAMMER-200-X107,NOS,NOS,Tool,,15.26,
206,GI ACCESS DOOR HANDLE,GI-DOOR-HANDLE-X108,NOS,NOS,Accessory,,0.45,
207,40MM G CLAMPS,GC-40MM-X109,NOS,BOX (200 NOS),Accessory ,,0.28,
208,STANLEY CUTTER,STANLEY-CUTTER-X110,NOS,NOS,Tool,,34.51,
209,20MM FLANGES,FL-20MM-X111,MTR,Length (5 MTR),Accessory ,,1.4,
210,30MM JOINT CLEAT,JC-30MM-X112,MTR,Length (2 MTR),Accessory ,,1.54,
211,STANLEY CUTTER,STANLEY-CUTTER-X113,NOS,NOS,Tool,,34.64,
212,CARBON (MITERSAW),CARBON-MITER-X114,NOS,NOS,Consumable,,4.95,
213,C CLEATS,C-CLEATS-X115,MTR,Length (1.2 MTR),Accessory ,,1.46,x
214,SWIRL RING,SWIRL-RING-X116,NOS,NOS,Consumable,,119.18,
215,30MM JOINT CLEAT,JC-30MM-X117,MTR,Length (2 MTR),Accessory ,,1.56,
216,"GRINDING WHEEL 4.5""",GRIND-4.5-X118,NOS,NOS,Consumable,,1,
217,"GRINDING WHEEL 4.5""",GRIND-4.5-X119,NOS,NOS,Consumable,,1.01,
218,"CUTTER WHEEL 14""",CUTTER-14-X120,NOS,NOS,Consumable,,10.91,
219,30MM CORNER,CR-30MM-X121,NOS,BOX (200 NOS),Accessory ,,0.24,
220,WELDING ROD 3.2MM,WELD-3.2MM-X122,BOX,BOX,Consumable,,45.08,
221,1.10MM JSW COIL (Z275),JSW-1.10MM-X123,KG,TON,Raw-Material,INDIA,3.88,
222,20MM JOINT CLEAT,JC-20MM-X124,MTR,Length (2 MTR),Accessory ,,1.56,
223,COPPER (SPOT WELDING TIP),COPPER-WELD-TIP-X125,PCS,PCS,Consumable,,29.58,
224,C PATTI SHEET,C-PATTI-SHEET-X126,NOS,NOS,Accessory,,0.89,
225,0.55MM AGIS COIL (Z275),AGIS-0.55MM-X127,KG,TON ,Raw-Material,UAE,3.22,
226,"CUTTER WHEEL 4.5"" (16DIA)",CUTTER-4.5-X128,NOS,NOS,Consumable,,3,
227,"CUTTER WHEEL 14""",CUTTER-14-X129,NOS,NOS,Consumable,,10.9,
228,GI BOLT 10 MM,GI-BOLT-10MM-X130,KG,KG,Accessory,,6.91,
229,0.60MM JSW COIL (Z275),JSW-0.60MM-X131,KG,TON,Raw-Material,INDIA,3.85,
230,CARBON PLAIN,CARBON-PLAIN-X132,NOS,NOS,Consumable,,5.03,
231,STANLEY CUTTER,STANLEY-CUTTER-X133,NOS,NOS,Tool,,34.62,
232,DRILL BIT 10 MM,DRILL-10MM-X134,NOS,NOS,Consumable,,5.93,
233,TIE ROD CONNECTOR 10 MM,TR-CON-10MM-X135,NOS,NOS,Accessory,,0.46,
234,REDOXIDE 18 LTR,CONS-REDOXIDE-18L-X136,LITER,18 LITRE,Consumable,,7.57,
235,WASTE CLOTH,CONS-WASTE-CLOTH-X137,PKT,PKT,Consumable,,14.72,
236,"GRINDING WHEEL 4.5""",GRIND-4.5-X138,NOS,NOS,Consumable,,1.02,
237,GOOGLES,SAFETY-GOGGLES-X139,NOS,NOS,SAFETY-ITEM,,4.9,
238,GI NUT 10 MM,GI-NUT-10MM-X140,KG,KG,Accessory,,6.93,
239,FIRE RATED SEALANT - PROGULF,SEALANT-FR-PROGULF-X141,NOS,NOS,Consumable,,15.25,
240,40MM FLANGES,FL-40MM-X142,MTR,Length (5 MTR),Accessory ,,3.73,
241,20MM FLANGES,FL-20MM-X143,MTR,Length (5 MTR),Accessory ,,1.41,
242,30MM CORNER,CR-30MM-X144,NOS,BOX (200 NOS),Accessory ,,0.24,
243,WOODEN HAMMER,HAMMER-WOOD-X145,NOS,NOS,Tool,,10.86,
244,0.60MM AGIS COIL (Z275),AGIS-0.60MM-X146,KG,TON,Raw-Material,UAE,3.24,
245,1.00MM JSW COIL (Z275),JSW-1.00MM-X147,KG,TON,Raw-Material,INDIA,3.91,
246,40MM G CLAMPS,GC-40MM-X148,NOS,BOX (200 NOS),Accessory ,,0.28,
247,RETAINING CAP (PLASMA MACHINE),RETAIN-CAP-PLASMA-X149,NOS,NOS,Consumable,,140.22,
248,0.70MM AGIS COIL (Z275),AGIS-0.70MM-X150,KG,TON,Raw-Material,UAE,3.15,
249,WOODEN HAMMER,HAMMER-WOOD-X151,NOS,NOS,Tool,,10.79,
250,WELDING ROD 2.6MM GREEN,WELD-2.6MM-X152,BOX,BOX,Consumable,,47.71,
251,FIRE RATED SEALANT - MUAYED,SEALANT-FR-MUAYED-X153,NOS,NOS,Consumable,,20.13,
252,ANGLE 35/35 / 3 THICK,ANGLE-35x35-3-X154,NOS,Length (5 MTR),Accessory,,32.69,
253,CARBON (MITERSAW),CARBON-MITER-X155,NOS,NOS,Consumable,,5.03,
254,VCD 350X200 S&C,VCD-350x200-X156,NOS,NOS,Accessory,,32.55,
255,ANGLE 50/50 / 4MM THICK,ANGLE-50x50-4-X157,NOS,Length (5 MTR),Accessory,,60.92,
256,VCD 350X200 S&C,VCD-350x200-X158,NOS,NOS,Accessory,,31.63,
257,20MM CORNER,CR-20MM-X159,NOS,BOX (200 NOS),Accessory ,,0.28,
258,VCD 400X200 S&C,VCD-400x200-X160,NOS,NOS,Accessory,,34.61,
259,0.60MM JSW COIL (Z275),JSW-0.60MM-X161,KG,TON,Raw-Material,INDIA,3.79,
260,0.70MM AGIS COIL (Z275),AGIS-0.70MM-X162,KG,TON,Raw-Material,UAE,3.23,
261,TIE ROD CONNECTOR 8 MM,TR-CON-8MM-X163,NOS,NOS,Accessory,,0.45,
262,1.20MM JSW COIL (Z275),JSW-1.20MM-X164,KG,TON,Raw-Material,INDIA,3.79,
263,DRILL BIT 4 MM,DRILL-4MM-X165,NOS,NOS,Consumable,,2.46,
264,0.56MM AGIS COIL (Z275),AGIS-0.56MM-X166,KG,TON ,Raw-Material,UAE,3.26,
265,ELECTRODE PLASMA,ELECTRODE-P-X167,NOS,NOS,Consumable,,8.85,
266,GI ACCESS DOOR HANDLE,GI-DOOR-HANDLE-X168,NOS,NOS,Accessory,,0.45,
267,CARBON 203,CARBON-203-X169,NOS,NOS,Consumable,,11.88,
268,REDOXIDE 18 LTR,CONS-REDOXIDE-18L-X170,LITER,18 LITRE,Consumable,,7.48,
269,1.10MM JSW COIL (Z275),JSW-1.10MM-X171,KG,TON,Raw-Material,INDIA,3.8,
270,FIRE RATED GASKET,GASKET-FR-X172,NOS,NOS,Accessory,,45.27,
271,WELDING ROD 2.6MM GREEN,WELD-2.6MM-X173,BOX,BOX,Consumable,,47.92,
272,TIE ROD (NOS) 10 MM,TR-10MM-X174,NOS,1.5MTR,Accessory,,4.33,
273,CARBON PLAIN,CARBON-PLAIN-X175,NOS,NOS,Consumable,,5.06,
274,FUSE,FUSE-X176,NOS,NOS,Consumable,,1,
275,40MM CORNER,CR-40MM-X177,NOS,BOX (200 NOS),Accessory ,,0.88,
276,1.10MM JSW COIL (Z275),JSW-1.10MM-X178,KG,TON,Raw-Material,INDIA,3.89,
277,1.10MM JSW COIL (Z275),JSW-1.10MM-X179,KG,TON,Raw-Material,INDIA,3.87,
278,TIE ROD CONNECTOR 10 MM,TR-CON-10MM-X180,NOS,NOS,Accessory,,0.46,
279,ALUM SPRAY PAINT,CONS-PAINT-AL-X181,NOS,NOS,Consumable,,5.01,
280,NOZZLE PLASMA,NOZZLE-P-X182,NOS,NOS,Consumable,,8.9,
281,CARBON PLAIN,CARBON-PLAIN-X183,NOS,NOS,Consumable,,5.01,
282,"FLEXIBLE DUCT 6"" (7.5MTR/BX)",FLEX-DUCT-6-X184,BX,BX,Accessory,,25.73,
283,HAND GLOVES,CONS-HAND-GLOVES-X185,DZN,DZN,SAFETY-ITEM,,12.78,
284,HAMMER 200,HAMMER-200-X186,NOS,NOS,Tool,,15.15,
285,CARBON PLAIN,CARBON-PLAIN-X187,NOS,NOS,Consumable,,4.95,
286,RSA ANGLE 40X40X5MM THK (6M/LEN),RSA-ANGLE-40x40x5-X188,NOS,Length (6 MTR),Raw-Material,,47.64,
287,20MM FLANGES,FL-20MM-X189,MTR,Length (5 MTR),Accessory ,,1.42,
288,1.00MM JSW COIL (Z275),JSW-1.00MM-X190,KG,TON,Raw-Material,INDIA,3.83,
289,CARBON PLAIN,CARBON-PLAIN-X191,NOS,NOS,Consumable,,4.99,
290,FIRE RATED SEALANT - MUAYED,SEALANT-FR-MUAYED-X192,NOS,NOS,Consumable,,20.34,
