SI.,Product Name,Item Code,UOM,Purchase UOM,Product Category,Origin Rule,Purchase Cost
25,"ALUMINIUM TAPE 2""",PI-ALU-TAPE-2-BX,BOX,BOX(24 NOS),Accessory ,,43.5
26,"ALUMINIUM TAPE 2""-ASMACO",PI-ALU-T2-ASM-BX,BOX,BOX(24 NOS),Accessory ,,60
27,"ALUMINIUM TAP 3"" (GERGAWI)",PI-ALU-T3-GER-BX,BOX,BOX(18 NOS),Accessory ,,43.2
28,"ALUMINIUM TAP 3"" (AL ANSAF)",PI-ALU-T3-ANS-BX,BOX,BOX(18 NOS),Accessory ,,47
29,SPECIALITE PHENOLIC SHEET UL 181 20M (KHAN),PI-PH-UL181-20M-SP,SQM,SQM,Raw-Material,,24
30,PAL PHENOLIC SHEET UL 181 20M,PI-PH-UL181-20M-PAL,SQM,SQM,Raw-Material,,29
31,PAL PHENOLIC SHEET UL 181 20M (INNOVA),PI-PH-UL181-20M-INN,SQM,SQM,Raw-Material,,26.5
32,PI ALPHA UL181 20MM,PI-PH-ALPHA-UL181-20,SQM,SQM,Raw-Material ,,26
33,GLUE KINGSPAN (15 litre DRUM),PI-GLUE-KING,DRUM,DRUM(15 LITRE),Accessory ,,150
34,GLUE STAR (15 LITRE),PI-GLUE-STAR,DRUM,DRUM(15 LITRE),Accessory ,,95.5
35,VCD BLADE 100 MM,PI-VCD-100-MTR,MTR,MTR(LENGTH 6 MTR),Accessory ,,11.33
36,VCD BLADE 150 MM,PI-VCD-150-MTR,MTR,MTR(LENGTH 6 MTR),Accessory ,,15.66
37,VCD BLADE 200 MM,PI-VCD-200-MTR,MTR,MTR(LENGTH 6 MTR),Accessory ,,29
38,CAM LOCK,PI-CAM-LOCK,NOS,NOS,Accessory ,,0.9
39,HANDLE SQUARE,PI-HANDLE-SQ,NOS,NOS,Accessory ,,1.65
40,BG PLATE WITH HOLE,PI-BG-PLATE,NOS,NOS,Accessory ,,0.3
41,CROSS FIX DEVICE FOR REIN BAR,PI-CROSS-FIX,NOS,NOS,Accessory ,,1.2
42,CNC BLADE KINGSPAN,PI-CNC-BLADE-KING-2,NOS,NOS,Accessory ,,125
43,REINFORCEMENT BAR ALU,PI-REINF-BAR-ALU,MTR,MTR(LENGTH 5 MTR),Accessory ,,6
44,MEASURING TAPE,PI-MEAS-TAPE,NOS,NOS,Tool ,,4
45,PVC BUSH WITH HOLE,PI-PVC-BUSH,NOS,NOS,Accessory ,,0.16
46,PVC BUSH WITH OUT HOLE,PI-PVC-BUSH-NH,NOS,NOS,Accessory ,,0.16
47,SPINDEL 12X75,PI-SPINDEL-12X75,NOS,NOS,Accessory ,,0.75
48,SPINDEL 12X125,PI-SPINDEL-12X125,NOS,NOS,Accessory ,,1.2
49,Z LINK,PI-Z-LINK,NOS,NOS,Accessory ,,1.65
50,SIDE LINK,PI-SIDE-LINK,NOS,NOS,Accessory ,,0.75
51,CUTTING KNIFE,PI-CUT-KNIFE,NOS,NOS,Tool,,5
52,STUCK UP PIN (ANSAF),PI-STUCK-PIN-ANS,BOX,BOX(400 PCS),Accessory ,,88
53,STUCK UP PIN LOCK,PI-STUCK-PIN-LOCK,NOS,NOS,Accessory ,,0.04
54,RIVIT 4.8 X 30,PI-RIVIT-4.8X30,BOX,BOX (400 PCS),Accessory ,,18
55,PROFILE GLUE,PI-PROFILE-GLUE,NOS,NOS,Accessory ,,19
56,ALU RIVET 4X25 BOX,PI-ALU-RIVET-4X25,BOX,BOX(400 PCS),Accessory ,,18
57,HANDLE SQUARE,PI-HANDLE-SQ-X1,NOS,NOS,Accessory ,,1.66
58,STUCK UP PIN (ANSAF),PI-STUCK-PIN-ANS-X2,BOX,BOX(400 PCS),Accessory ,,86.43
59,SPECIALITE PHENOLIC SHEET UL 181 20M (KHAN),PI-PH-UL181-20M-SP-X3,SQM,SQM,Raw-Material,,23.73
60,SEALANT (DR FIX PIDILITE) WHITE,PI-SEAL-DRFIX-W-X4,BOX,BOX(24 NOS),Accessory ,,37.52
61,REINFORCEMENT BAR ALU,PI-REINF-BAR-ALU-X5,MTR,MTR(LENGTH 5 MTR),Accessory ,,5.92
62,PVC FLANGE 20MM,PI-PVC-FL-20-X6,MTR,Length (5 MTR),Accessory ,,0.96
63,GI CORNER 20MM-PAL,PI-GI-CR-20PAL-X7,NOS,BOX (200 NOS),Accessory ,,0.12
64,HANDLE SQUARE,PI-HANDLE-SQ-X8,NOS,NOS,Accessory ,,1.64
65,SEALANT PAL,PI-SEAL-PAL-X9,BOX,BOX(24 NOS),Accessory ,,70.9
66,UL TAPE 60 YARD - MEIYUAN,PI-ULT-60-MEI-X10,NOS,NOS,Accessory ,,50.78
67,PVC CORNER 20MM,PI-PVC-CR-20-X11,NOS,BOX (200 NOS),Accessory ,,0.09
68,PVC CORNER 20MM,PI-PVC-CR-20-X12,NOS,BOX (200 NOS),Accessory ,,0.09
69,UL TAPE 60 YARD - SHUR,PI-ULT-60-SHUR-X13,NOS,NOS,Accessory ,,47.61
70,STUCK UP PIN LOCK,PI-STUCK-PIN-LOCK-X14,NOS,NOS,Accessory ,,0.04
71,VCD BLADE 150 MM,PI-VCD-150-MTR-X15,MTR,MTR(LENGTH 6 MTR),Accessory ,,15.81
72,BG PLATE WITH HOLE,PI-BG-PLATE-X16,NOS,NOS,Accessory ,,0.3
73,UL TAPE 60 YARD - SHUR,PI-ULT-60-SHUR-X17,NOS,NOS,Accessory ,,47.8
74,ALUMINIUM JOINT. FLANGE 20MM,PI-ALU-JFL-20-X18,MTR,Length (5 MTR),Accessory ,,2.72
75,UL TAPE 30 YARD - IDEAL,PI-ULT-30-IDEAL-X19,NOS,NOS,Accessory ,,32.38
76,STUCK UP PIN LOCK,PI-STUCK-PIN-LOCK-X20,NOS,NOS,Accessory ,,0.04
77,ALUMINIUM JOINT. FLANGE 20MM (KS),PI-ALU-JFL-20KS-X21,MTR,Length (5 MTR),Accessory ,,2.47
78,UL TAPE 60 YARD - SHUR,PI-ULT-60-SHUR-X22,NOS,NOS,Accessory ,,46.37
79,MEASURING TAPE,PI-MEAS-TAPE-X23,NOS,NOS,Tool ,,4
80,PAL PHENOLIC SHEET UL 181 20M,PI-PH-UL181-20M-PAL-X24,SQM,SQM,Raw-Material,,29.1
81,CAM LOCK,PI-CAM-LOCK-X25,NOS,NOS,Accessory ,,0.89
82,ALUMINIUM JOINT. FLANGE 20MM (KS),PI-ALU-JFL-20KS-X26,MTR,Length (5 MTR),Accessory ,,2.45
83,GI CORNER 20MM-PAL,PI-GI-CR-20PAL-X27,NOS,BOX (200 NOS),Accessory ,,0.12
84,GLUE KINGSPAN (15 litre DRUM),PI-GLUE-KING-X28,DRUM,DRUM(15 LITRE),Accessory ,,151.37
85,PVC CORNER 20MM PAL,PI-PVC-CR-20PAL-X29,NOS,BOX (200 NOS),Accessory ,,0.15
86,UL TAPE 30 YARD - IDEAL,PI-ULT-30-IDEAL-X30,NOS,NOS,Accessory ,,32.16
87,MEASURING TAPE,PI-MEAS-TAPE-X31,NOS,NOS,Tool ,,4.07
88,"ALUMINIUM TAPE 2""",PI-ALU-TAPE-2-BX-X32,BOX,BOX(24 NOS),Accessory ,,44.13
89,Z LINK,PI-Z-LINK-X33,NOS,NOS,Accessory ,,1.63
90,"ALUMINIUM TAP 3"" (GERGAWI)",PI-ALU-T3-GER-BX-X34,BOX,BOX(18 NOS),Accessory ,,43.83
91,CNC BLADE KINGSPAN,PI-CNC-BLADE-KING-2-X35,NOS,NOS,Accessory ,,126.15
92,"ALUMINIUM TAP 3"" (AL ANSAF)",PI-ALU-T3-ANS-BX-X36,BOX,BOX(18 NOS),Accessory ,,46.58
93,SEALANT (DR FIX PIDILITE) GRAY,PI-SEAL-DRFIX-G-X37,BOX,BOX(24 NOS),Accessory ,,38.45
94,SEALANT (DR FIX PIDILITE) WHITE,PI-SEAL-DRFIX-W-X38,BOX,BOX(24 NOS),Accessory ,,38.56
95,SPINDEL 12X75,PI-SPINDEL-12X75-X39,NOS,NOS,Accessory ,,0.74
96,CUTTING KNIFE,PI-CUT-KNIFE-X40,NOS,NOS,Tool,,5.01
97,MEASURING TAPE,PI-MEAS-TAPE-X41,NOS,NOS,Tool ,,3.93
98,PROFILE GLUE,PI-PROFILE-GLUE-X42,NOS,NOS,Accessory ,,19.06
99,STUCK UP PIN (ANSAF),PI-STUCK-PIN-ANS-X43,BOX,BOX(400 PCS),Accessory ,,87.08
100,ALUMINIUM JOINT. FLANGE 20MM,PI-ALU-JFL-20-X44,MTR,Length (5 MTR),Accessory ,,2.78
101,VCD BLADE 200 MM,PI-VCD-200-MTR-X45,MTR,MTR(LENGTH 6 MTR),Accessory ,,28.62
102,CUTTING KNIFE,PI-CUT-KNIFE-X46,NOS,NOS,Tool,,4.96
103,ALUMINIUM F. FLANGE 20MM,PI-ALU-FFL-20-X47,MTR,Length (5 MTR),Accessory ,,2.26
104,GI CORNER 20MM-PAL,PI-GI-CR-20PAL-X48,NOS,BOX (200 NOS),Accessory ,,0.12
105,PVC H BAYONET,PI-PVC-HBAY-X49,MTR,Length (5 MTR),Accessory ,,0.55
106,HANDLE SQUARE,PI-HANDLE-SQ-X50,NOS,NOS,Accessory ,,1.65
107,SEALANT (STAR ADHESIV) GRAY,PI-SEAL-STAR-G-X51,BOX,BOX(24 NOS),Accessory ,,40.39
108,ALUMINIUM U FLANGE 20MM (KS),PI-ALU-UFL-20KS-X52,MTR,Length (5 MTR),Accessory ,,1.78
109,"ALUMINIUM TAPE 2""",PI-ALU-TAPE-2-BX-X53,BOX,BOX(24 NOS),Accessory ,,42.64
110,SEALANT GUN,PI-SEAL-GUN-X54,NOS,NOS,Tool,,14.93
111,SIDE LINK,PI-SIDE-LINK-X55,NOS,NOS,Accessory ,,0.75
112,PVC H BAYONET,PI-PVC-HBAY-X56,MTR,Length (5 MTR),Accessory ,,0.55
113,"ALUMINIUM TAPE 2""-ASMACO",PI-ALU-T2-ASM-BX-X57,BOX,BOX(24 NOS),Accessory ,,60.8
114,STUCK UP PIN LOCK,PI-STUCK-PIN-LOCK-X58,NOS,NOS,Accessory ,,0.04
115,ALUMINIUM JOINT. FLANGE 20MM (KS),PI-ALU-JFL-20KS-X59,MTR,Length (5 MTR),Accessory ,,2.48
116,GI CORNER 20MM,PI-GI-CR-20-X60,NOS,BOX (200 NOS),Accessory ,,0.07
117,"ALUMINIUM TAP 3"" (AL ANSAF)",PI-ALU-T3-ANS-BX-X61,BOX,BOX(18 NOS),Accessory ,,47
118,SPINDEL 12X75,PI-SPINDEL-12X75-X62,NOS,NOS,Accessory ,,0.76
119,ALUMINIUM F. FLANGE 20MM,PI-ALU-FFL-20-X63,MTR,Length (5 MTR),Accessory ,,2.31
120,MEASURING TAPE,PI-MEAS-TAPE-X64,NOS,NOS,Tool ,,3.99
121,PVC FLANGE 20MM,PI-PVC-FL-20-X65,MTR,Length (5 MTR),Accessory ,,0.95
122,SPINDEL 12X75,PI-SPINDEL-12X75-X66,NOS,NOS,Accessory ,,0.74
123,VCD BLADE 100 MM,PI-VCD-100-MTR-X67,MTR,MTR(LENGTH 6 MTR),Accessory ,,11.32
124,SEALANT GUN,PI-SEAL-GUN-X68,NOS,NOS,Tool,,15.07
125,SEALANT (STAR ADHESIV) WHITE,PI-SEAL-STAR-W-X69,BOX,BOX(24 NOS),Accessory ,,41.73
126,VCD BLADE 150 MM,PI-VCD-150-MTR-X70,MTR,MTR(LENGTH 6 MTR),Accessory ,,15.62
127,SIDE LINK,PI-SIDE-LINK-X71,NOS,NOS,Accessory ,,0.75
128,BG PLATE WITH HOLE,PI-BG-PLATE-X72,NOS,NOS,Accessory ,,0.3
129,ALUMINIUM U FLANGE 20MM (KS),PI-ALU-UFL-20KS-X73,MTR,Length (5 MTR),Accessory ,,1.79
130,ALUMINIUM JOINT. FLANGE 20MM (KS),PI-ALU-JFL-20KS-X74,MTR,Length (5 MTR),Accessory ,,2.51
131,ALUMINIUM CH. FLANGE 20MM,PI-ALU-CHFL-20-X75,MTR,Length (5 MTR),Accessory ,,2.21
132,RIVIT 4.8 X 30,PI-RIVIT-4.8X30-X76,BOX,BOX (400 PCS),Accessory ,,17.99
133,CNC BLADE KINGSPAN,PI-CNC-BLADE-KING-2-X77,NOS,NOS,Accessory ,,125.55
134,ALUMINIUM U FLANGE 20MM (KS),PI-ALU-UFL-20KS-X78,MTR,Length (5 MTR),Accessory ,,1.82
135,RIVIT 4.8 X 30,PI-RIVIT-4.8X30-X79,BOX,BOX (400 PCS),Accessory ,,17.95
136,SPECIALITE PHENOLIC SHEET UL 181 20M (KHAN),PI-PH-UL181-20M-SP-X80,SQM,SQM,Raw-Material,,23.81
137,SEALANT (STAR ADHESIV) GRAY,PI-SEAL-STAR-G-X81,BOX,BOX(24 NOS),Accessory ,,40.19
138,"ALUMINIUM TAPE 2""-ASMACO",PI-ALU-T2-ASM-BX-X82,BOX,BOX(24 NOS),Accessory ,,60.62
139,MEASURING TAPE,PI-MEAS-TAPE-X83,NOS,NOS,Tool ,,3.93
140,GLUE STAR (15 LITRE),PI-GLUE-STAR-X84,DRUM,DRUM(15 LITRE),Accessory ,,95.46
141,PVC U FLANGE,PI-PVC-UFL-X85,MTR,Length (5 MTR),Accessory ,,1.24
142,VCD BLADE 150 MM,PI-VCD-150-MTR-X86,MTR,MTR(LENGTH 6 MTR),Accessory ,,15.87
143,SEALANT GUN,PI-SEAL-GUN-X87,NOS,NOS,Tool,,15.27
144,PAL PHENOLIC SHEET UL 181 20M (INNOVA),PI-PH-UL181-20M-INN-X88,SQM,SQM,Raw-Material,,26.31
145,SPINDEL 12X125,PI-SPINDEL-12X125-X89,NOS,NOS,Accessory ,,1.22
146,SEALANT (DR FIX PIDILITE) WHITE,PI-SEAL-DRFIX-W-X90,BOX,BOX(24 NOS),Accessory ,,37.75
147,PVC FLANGE 20MM,PI-PVC-FL-20-X91,MTR,Length (5 MTR),Accessory ,,0.96
148,SEALANT GUN,PI-SEAL-GUN-X92,NOS,NOS,Tool,,15.18
149,UL TAPE 60 YARD - MEIYUAN,PI-ULT-60-MEI-X93,NOS,NOS,Accessory ,,50.31
150,BG PLATE WITH HOLE,PI-BG-PLATE-X94,NOS,NOS,Accessory ,,0.3
151,GI CORNER 20MM-PAL,PI-GI-CR-20PAL-X95,NOS,BOX (200 NOS),Accessory ,,0.12
152,SEALANT (DR FIX PIDILITE) GRAY,PI-SEAL-DRFIX-G-X96,BOX,BOX(24 NOS),Accessory ,,37.89
153,PVC BUSH WITH HOLE,PI-PVC-BUSH-X97,NOS,NOS,Accessory ,,0.16
154,SEALANT (STAR ADHESIV) GRAY,PI-SEAL-STAR-G-X98,BOX,BOX(24 NOS),Accessory ,,41.61
155,SPINDEL 12X75,PI-SPINDEL-12X75-X99,NOS,NOS,Accessory ,,0.74
156,STUCK UP PIN LOCK,PI-STUCK-PIN-LOCK-X100,NOS,NOS,Accessory ,,0.04
157,UL TAPE 60 YARD - SHUR,PI-ULT-60-SHUR-X101,NOS,NOS,Accessory ,,47.11
158,"ALUMINIUM TAPE 2""-ASMACO",PI-ALU-T2-ASM-BX-X102,BOX,BOX(24 NOS),Accessory ,,59.83
159,"ALUMINIUM TAPE 2""",PI-ALU-TAPE-2-BX-X103,BOX,BOX(24 NOS),Accessory ,,44.12
160,PVC BUSH WITH HOLE,PI-PVC-BUSH-X104,NOS,NOS,Accessory ,,0.16
161,CROSS FIX DEVICE FOR REIN BAR,PI-CROSS-FIX-X105,NOS,NOS,Accessory ,,1.19
162,SPECIALITE PHENOLIC SHEET UL 181 20M (KHAN),PI-PH-UL181-20M-SP-X106,SQM,SQM,Raw-Material,,24.13
163,SEALANT (DR FIX PIDILITE) WHITE,PI-SEAL-DRFIX-W-X107,BOX,BOX(24 NOS),Accessory ,,38.66
164,PVC BUSH WITH HOLE,PI-PVC-BUSH-X108,NOS,NOS,Accessory ,,0.16
165,ALUMINIUM U. FLANGE 20MM,PI-ALU-UFL-20-X109,MTR,Length (5 MTR),Accessory ,,1.76
166,"ALUMINIUM TAPE 2""",PI-ALU-TAPE-2-BX-X110,BOX,BOX(24 NOS),Accessory ,,42.89
167,ALUMINIUM F. FLANGE 20MM,PI-ALU-FFL-20-X111,MTR,Length (5 MTR),Accessory ,,2.32
168,PVC H BAYONET,PI-PVC-HBAY-X112,MTR,Length (5 MTR),Accessory ,,0.55
169,UL TAPE 60 YARD - SHUR,PI-ULT-60-SHUR-X113,NOS,NOS,Accessory ,,46.52
170,ALUMINIUM U. FLANGE 20MM,PI-ALU-UFL-20-X114,MTR,Length (5 MTR),Accessory ,,1.73
171,MEASURING TAPE,PI-MEAS-TAPE-X115,NOS,NOS,Tool ,,3.98
172,PVC FLANGE 20MM,PI-PVC-FL-20-X116,MTR,Length (5 MTR),Accessory ,,0.94
173,UL TAPE 60 YARD - SHUR,PI-ULT-60-SHUR-X117,NOS,NOS,Accessory ,,47.21
174,PVC CORNER 20MM,PI-PVC-CR-20-X118,NOS,BOX (200 NOS),Accessory ,,0.09
175,CUTTING KNIFE,PI-CUT-KNIFE-X119,NOS,NOS,Tool,,5.05
176,SEALANT (STAR ADHESIV) WHITE,PI-SEAL-STAR-W-X120,BOX,BOX(24 NOS),Accessory ,,40.66
177,PVC FLANGE 20MM,PI-PVC-FL-20-X121,MTR,Length (5 MTR),Accessory ,,0.97
178,VCD BLADE 100 MM,PI-VCD-100-MTR-X122,MTR,MTR(LENGTH 6 MTR),Accessory ,,11.35
179,VCD BLADE 100 MM,PI-VCD-100-MTR-X123,MTR,MTR(LENGTH 6 MTR),Accessory ,,11.41
180,GLUE KINGSPAN (15 litre DRUM),PI-GLUE-KING-X124,DRUM,DRUM(15 LITRE),Accessory ,,151.13
181,ALUMINIUM CH. FLANGE 20MM (KS),PI-ALU-CHFL-20KS-X125,MTR,Length (5 MTR),Accessory ,,2.17
182,CNC BLADE KINGSPAN,PI-CNC-BLADE-KING-2-X126,NOS,NOS,Accessory ,,123.23
183,HANDLE SQUARE,PI-HANDLE-SQ-X127,NOS,NOS,Accessory ,,1.65
184,CROSS FIX DEVICE FOR REIN BAR,PI-CROSS-FIX-X128,NOS,NOS,Accessory ,,1.2
185,"ALUMINIUM TAP 3"" (AL ANSAF)",PI-ALU-T3-ANS-BX-X129,BOX,BOX(18 NOS),Accessory ,,46.57
186,ALUMINIUM F. FLANGE 20MM,PI-ALU-FFL-20-X130,MTR,Length (5 MTR),Accessory ,,2.27
187,PVC H BAYONET,PI-PVC-HBAY-X131,MTR,Length (5 MTR),Accessory ,,0.55
188,PVC FLANGE 20MM,PI-PVC-FL-20-X132,MTR,Length (5 MTR),Accessory ,,0.96
189,PVC CORNER 20MM PAL,PI-PVC-CR-20PAL-X133,NOS,BOX (200 NOS),Accessory ,,0.15
190,GLUE STAR (15 LITRE),PI-GLUE-STAR-X134,DRUM,DRUM(15 LITRE),Accessory ,,94.42
191,GLUE KINGSPAN (15 litre DRUM),PI-GLUE-KING-X135,DRUM,DRUM(15 LITRE),Accessory ,,152.73
192,SPINDEL 12X125,PI-SPINDEL-12X125-X136,NOS,NOS,Accessory ,,1.21
193,PROFILE GLUE,PI-PROFILE-GLUE-X137,NOS,NOS,Accessory ,,18.65
194,UL TAPE 60 YARD - MEIYUAN,PI-ULT-60-MEI-X138,NOS,NOS,Accessory ,,50.96
195,UL TAPE 60 YARD - SHUR,PI-ULT-60-SHUR-X139,NOS,NOS,Accessory ,,46.08
196,VCD BLADE 200 MM,PI-VCD-200-MTR-X140,MTR,MTR(LENGTH 6 MTR),Accessory ,,28.73
197,VCD BLADE 100 MM,PI-VCD-100-MTR-X141,MTR,MTR(LENGTH 6 MTR),Accessory ,,11.52
198,MEASURING TAPE,PI-MEAS-TAPE-X142,NOS,NOS,Tool ,,3.93
199,BG PLATE WITH HOLE,PI-BG-PLATE-X143,NOS,NOS,Accessory ,,0.3
200,UL TAPE 30 YARD - IDEAL,PI-ULT-30-IDEAL-X144,NOS,NOS,Accessory ,,31.55
201,"ALUMINIUM TAP 3"" (GERGAWI)",PI-ALU-T3-GER-BX-X145,BOX,BOX(18 NOS),Accessory ,,42.65
202,VCD BLADE 100 MM,PI-VCD-100-MTR-X146,MTR,MTR(LENGTH 6 MTR),Accessory ,,11.46
203,ALUMINIUM U. FLANGE 20MM,PI-ALU-UFL-20-X147,MTR,Length (5 MTR),Accessory ,,1.78
204,VCD BLADE 100 MM,PI-VCD-100-MTR-X148,MTR,MTR(LENGTH 6 MTR),Accessory ,,11.31
205,VCD BLADE 200 MM,PI-VCD-200-MTR-X149,MTR,MTR(LENGTH 6 MTR),Accessory ,,28.46
206,SPINDEL 12X75,PI-SPINDEL-12X75-X150,NOS,NOS,Accessory ,,0.74
207,SEALANT GUN,PI-SEAL-GUN-X151,NOS,NOS,Tool,,14.71
208,ALUMINIUM JOINT. FLANGE 20MM,PI-ALU-JFL-20-X152,MTR,Length (5 MTR),Accessory ,,2.73
209,ALUMINIUM U. FLANGE 20MM,PI-ALU-UFL-20-X153,MTR,Length (5 MTR),Accessory ,,1.76
210,ALUMINIUM CH. FLANGE 20MM (KS),PI-ALU-CHFL-20KS-X154,MTR,Length (5 MTR),Accessory ,,2.18
211,"ALUMINIUM TAPE 2""-ASMACO",PI-ALU-T2-ASM-BX-X155,BOX,BOX(24 NOS),Accessory ,,60.36
212,PROFILE GLUE,PI-PROFILE-GLUE-X156,NOS,NOS,Accessory ,,19.32
213,SEALANT GUN,PI-SEAL-GUN-X157,NOS,NOS,Tool,,14.98
214,HANDLE SQUARE,PI-HANDLE-SQ-X158,NOS,NOS,Accessory ,,1.63
215,"ALUMINIUM TAP 3"" (GERGAWI)",PI-ALU-T3-GER-BX-X159,BOX,BOX(18 NOS),Accessory ,,43.93
216,PVC H BAYONET,PI-PVC-HBAY-X160,MTR,Length (5 MTR),Accessory ,,0.56
217,SEALANT (DR FIX PIDILITE) WHITE,PI-SEAL-DRFIX-W-X161,BOX,BOX(24 NOS),Accessory ,,37.45
218,SEALANT (DR FIX PIDILITE) WHITE,PI-SEAL-DRFIX-W-X162,BOX,BOX(24 NOS),Accessory ,,38.61
219,"ALUMINIUM TAPE 2""-ASMACO",PI-ALU-T2-ASM-BX-X163,BOX,BOX(24 NOS),Accessory ,,59.5
220,CNC BLADE KINGSPAN,PI-CNC-BLADE-KING-2-X164,NOS,NOS,Accessory ,,123.14
221,PVC CORNER 30MM,PI-PVC-CR-30-X165,NOS,BOX (200 NOS),Accessory ,,0.92
222,CUTTING KNIFE,PI-CUT-KNIFE-X166,NOS,NOS,Tool,,5.05
223,PI ALPHA UL181 20MM,PI-PH-ALPHA-UL181-20-X167,SQM,SQM,Raw-Material ,,25.57
224,HANDLE SQUARE,PI-HANDLE-SQ-X168,NOS,NOS,Accessory ,,1.67
225,Z LINK,PI-Z-LINK-X169,NOS,NOS,Accessory ,,1.63
226,STUCK UP PIN (ANSAF),PI-STUCK-PIN-ANS-X170,BOX,BOX(400 PCS),Accessory ,,87.71
227,PI ALPHA UL181 20MM,PI-PH-ALPHA-UL181-20-X171,SQM,SQM,Raw-Material ,,25.63
228,ALUMINIUM U FLANGE 20MM (KS),PI-ALU-UFL-20KS-X172,MTR,Length (5 MTR),Accessory ,,1.81
229,PAL PHENOLIC SHEET UL 181 20M,PI-PH-UL181-20M-PAL-X173,SQM,SQM,Raw-Material,,28.95
230,VCD BLADE 200 MM,PI-VCD-200-MTR-X174,MTR,MTR(LENGTH 6 MTR),Accessory ,,28.88
231,UL TAPE 60 YARD - MEIYUAN,PI-ULT-60-MEI-X175,NOS,NOS,Accessory ,,50.61
232,HANDLE SQUARE,PI-HANDLE-SQ-X176,NOS,NOS,Accessory ,,1.65
233,PVC BUSH WITH HOLE,PI-PVC-BUSH-X177,NOS,NOS,Accessory ,,0.16
234,SEALANT (DR FIX PIDILITE) WHITE,PI-SEAL-DRFIX-W-X178,BOX,BOX(24 NOS),Accessory ,,38.43
235,REINFORCEMENT BAR ALU,PI-REINF-BAR-ALU-X179,MTR,MTR(LENGTH 5 MTR),Accessory ,,6.03
236,SPECIALITE PHENOLIC SHEET UL 181 20M (KHAN),PI-PH-UL181-20M-SP-X180,SQM,SQM,Raw-Material,,24.44
237,VCD BLADE 150 MM,PI-VCD-150-MTR-X181,MTR,MTR(LENGTH 6 MTR),Accessory ,,15.69
238,PVC CORNER 30MM,PI-PVC-CR-30-X182,NOS,BOX (200 NOS),Accessory ,,0.92
239,PI ALPHA UL181 20MM,PI-PH-ALPHA-UL181-20-X183,SQM,SQM,Raw-Material ,,26.04
240,ALUMINIUM F. FLANGE 20MM,PI-ALU-FFL-20-X184,MTR,Length (5 MTR),Accessory ,,2.28
241,CUTTING KNIFE,PI-CUT-KNIFE-X185,NOS,NOS,Tool,,4.92
242,UL TAPE 30 YARD - IDEAL,PI-ULT-30-IDEAL-X186,NOS,NOS,Accessory ,,32.33
243,"ALUMINIUM TAP 3"" (AL ANSAF)",PI-ALU-T3-ANS-BX-X187,BOX,BOX(18 NOS),Accessory ,,46.56
